Team,Wins,Salary,3P%,2P%,eFG%,Playoffs
MIL,58,180769815,0.366,0.559,0.555,1
BOS,57,175483265,0.377,0.566,0.566,1
PHI,54,164391836,0.387,0.55,0.562,1
DEN,53,168032244,0.379,0.574,0.572,1
MEM,51,128426871,0.351,0.548,0.54,1
CLE,51,154561446,0.366,0.559,0.555,1
SAC,48,152215256,0.367,0.585,0.57,1
NYK,47,146837571,0.353,0.547,0.54,1
BRK,45,166125123,0.378,0.559,0.562,1
PHO,45,175806777,0.374,0.52,0.535,1
MIA,44,152766041,0.345,0.539,0.531,1
LAC,44,193025394,0.38,0.538,0.55,1
GSW,44,200320856,0.383,0.566,0.571,1
LAL,43,180067292,0.347,0.554,0.542,1
NOP,42,154090191,0.364,0.541,0.543,0
MIN,42,175101722,0.365,0.566,0.559,1
TOR,41,149485166,0.335,0.525,0.517,0
ATL,41,158133740,0.348,0.548,0.539,1
CHI,40,153093665,0.359,0.555,0.549,0
OKC,40,155437627,0.355,0.528,0.53,0
DAL,38,179946621,0.371,0.574,0.565,0
UTA,37,148998631,0.353,0.56,0.547,0
IND,35,124181439,0.367,0.54,0.545,0
WAS,35,183801576,0.356,0.559,0.55,0
ORL,34,138311945,0.346,0.539,0.532,0
POR,33,151480955,0.365,0.55,0.549,0
CHA,27,146049640,0.33,0.528,0.516,0
SAS,22,101549048,0.345,0.529,0.525,0
HOU,22,138296534,0.327,0.53,0.516,0
DET,17,127673493,0.351,0.516,0.52,0
